Loading repository data...
Reading installed packages...

S  | Name                                       | Summary                                                                                                                                                                                                                                | Type
i  | python313-Brotli                           | Python bindings for the Brotli compression library                                                                                                                                                                                     | package
i  | python313-certifi                          | Python package for providing Mozilla's CA Bundle                                                                                                                                                                                       | package
i  | python313-cffi                             | Foreign Function Interface for Python calling C code                                                                                                                                                                                   | package
i  | python313-charset-normalizer               | Python Universal Charset detector                                                                                                                                                                                                      | package
i  | python313-cryptography                     | Python library which exposes cryptographic recipes and primitives                                                                                                                                                                      | package
i  | python313-curses                           | Python Interface to the (N)Curses Library                                                                                                                                                                                              | package
i  | python313-dbm                              | Python Interface to the GDBM Library                                                                                                                                                                                                   | package
i  | python313-dbus-python                      | Python bindings for D-Bus                                                                                                                                                                                                              | package
i  | python313-decorator                        | Decorators for Humans                                                                                                                                                                                                                  | package
i  | python313-gobject                          | Python bindings for GObject                                                                                                                                                                                                            | package
i  | python313-gobject-cairo                    | Python bindings for GObject/Cairo                                                                                                                                                                                                      | package
i  | python313-gobject-Gdk                      | Python bindings for GObject/Gdk                                                                                                                                                                                                        | package
i  | python313-gssapi                           | A Python interface to RFC 2743/2744 (plus common extensions)                                                                                                                                                                           | package
i  | python313-h2                               | HTTP/2 State-Machine based protocol implementation                                                                                                                                                                                     | package
i  | python313-hpack                            | Pure-Python HPACK header compression                                                                                                                                                                                                   | package
i  | python313-hyperframe                       | HTTP/2 framing layer for Python                                                                                                                                                                                                        | package
i  | python313-idna                             | Internationalized Domain Names in Applications (IDNA)                                                                                                                                                                                  | package
i  | python313-nftables                         | Python bindings for nftables                                                                                                                                                                                                           | package
i  | python313-pip                              | A Python package management system                                                                                                                                                                                                     | package
i  | python313-policycoreutils                  | SELinux policy core python3 interfaces                                                                                                                                                                                                 | package
i  | python313-pycairo                          | Python Bindings for Cairo                                                                                                                                                                                                              | package
i  | python313-pycparser                        | C parser in Python                                                                                                                                                                                                                     | package
i  | python313-pyOpenSSL                        | Python wrapper module around the OpenSSL library                                                                                                                                                                                       | package
i  | python313-PySocks                          | A Python SOCKS client module                                                                                                                                                                                                           | package
i  | python313-requests                         | Python HTTP Library                                                                                                                                                                                                                    | package
i  | python313-requests-gssapi                  | A GSSAPI authentication handler for python-requests                                                                                                                                                                                    | package
i  | python313-selinux                          | Python bindings for the SELinux runtime library                                                                                                                                                                                        | package
i  | python313-semanage                         | Python bindings for SELinux's policy management library                                                                                                                                                                                | package
i  | python313-setools                          | Python bindings for SELinux policy analysis                                                                                                                                                                                            | package
i  | python313-setuptools                       | Download, build, install, upgrade, and uninstall Python packages                                                                                                                                                                       | package
i  | python313-urllib3                          | HTTP library with thread-safe connection pooling, file post, and more                                                                                                                                                                  | package
i  | python313-x86-64-v3                        | Python 3 Interpreter                                                                                                                                                                                                                   | package
i  | python313-zstandard                        | Zstandard bindings for Python                                                                                                                                                                                                          | package
i  | qt6-imageformats                           | Qt 6 ImageFormat Plugins                                                                                                                                                                                                               | package
i  | qt6-network-tls                            | Backends used to handle secure connections                                                                                                                                                                                             | package
i  | qt6-networkinformation-glib                | Network information for QNetworkInformation using GNetworkMonitor                                                                                                                                                                      | package
i  | qt6-networkinformation-nm                  | Network information for QNetworkInformation                                                                                                                                                                                            | package
i  | qt6-platformtheme-gtk3                     | Qt 6 GTK3 plugin                                                                                                                                                                                                                       | package
i  | rollback-helper                            | Helper Scripts for system rollback                                                                                                                                                                                                     | package
i  | rpcbind                                    | Transport independent RPC portmapper                                                                                                                                                                                                   | package
i  | rpm                                        | The RPM Package Manager                                                                                                                                                                                                                | package
i  | rpm-config-SUSE                            | SUSE specific RPM configuration files                                                                                                                                                                                                  | package
i+ | rsync                                      | Versatile tool for fast incremental file transfer                                                                                                                                                                                      | package
i  | rsyslog                                    | The enhanced syslogd for Linux and Unix                                                                                                                                                                                                | package
i+ | samba                                      | A SMB/CIFS File, Print, and Authentication Server                                                                                                                                                                                      | package
i  | samba-ad-dc-libs                           | Samba Active Directory Domain Controller libraries                                                                                                                                                                                     | package
i+ | samba-client                               | Samba Client Utilities                                                                                                                                                                                                                 | package
i  | samba-client-libs                          | Samba client libraries                                                                                                                                                                                                                 | package
i  | samba-dcerpc                               | Samba dcerpc service binaries                                                                                                                                                                                                          | package
i  | samba-gpupdate                             | Samba Group Policy                                                                                                                                                                                                                     | package
i  | samba-ldb-ldap                             | Samba Ldb Ldap Modules                                                                                                                                                                                                                 | package
i  | samba-libs                                 | Samba libraries                                                                                                                                                                                                                        | package
i  | samba-libs-python3                         | Python3 dependencies of samba-libs                                                                                                                                                                                                     | package
i  | samba-python3                              | Samba Python3 libraries                                                                                                                                                                                                                | package
i+ | samba-winbind                              | Winbind Daemon and Tool                                                                                                                                                                                                                | package
i  | samba-winbind-libs                         | Winbind Daemon libraries                                                                                                                                                                                                               | package
i  | sazanami-fonts                             | Japanese "Sazanami" TrueType Fonts                                                                                                                                                                                                     | package
i  | screen                                     | A program to allow multiple screens on a VT100/ANSI Terminal                                                                                                                                                                           | package
i  | sed                                        | A Stream-Oriented Non-Interactive Text Editor                                                                                                                                                                                          | package
i  | sed-lang                                   | Translations for package sed                                                                                                                                                                                                           | package
i+ | selinux                                    | SELinux Support                                                                                                                                                                                                                        | pattern
i  | selinux-autorelabel                        | Automatic SELinux relabelling during early boot                                                                                                                                                                                        | package
i  | selinux-policy                             | SELinux policy configuration                                                                                                                                                                                                           | package
i+ | selinux-policy-targeted                    | SELinux targeted base policy                                                                                                                                                                                                           | package
i  | selinux-tools                              | SELinux command-line utilities                                                                                                                                                                                                         | package
i  | setools-console                            | Policy analysis command-line tools for SELinux                                                                                                                                                                                         | package
i  | sg3_utils                                  | A collection of tools that send SCSI commands to devices                                                                                                                                                                               | package
i  | shadow                                     | Utilities to Manage User and Group Accounts                                                                                                                                                                                            | package
i  | shared-mime-info                           | Shared MIME Database                                                                                                                                                                                                                   | package
i  | shared-mime-info-lang                      | Translations for package shared-mime-info                                                                                                                                                                                              | package
i+ | ShellCheck                                 | Shell script analysis tool                                                                                                                                                                                                             | package
i+ | shim                                       | UEFI shim loader                                                                                                                                                                                                                       | package
i  | smartmontools                              | Monitor for SMART devices                                                                                                                                                                                                              | package
i+ | snapper                                    | Tool for filesystem snapshot management                                                                                                                                                                                                | package
i  | snapper-zypp-plugin                        | A zypp commit plugin for calling snapper                                                                                                                                                                                               | package
i  | snmp-mibs                                  | MIB files from net-snmp                                                                                                                                                                                                                | package
i  | sound-theme-freedesktop                    | freedesktop.org sound theme                                                                                                                                                                                                            | package
i  | sscep                                      | A command line client for the SCEP protocol                                                                                                                                                                                            | package
i+ | sudo                                       | Execute some commands as root                                                                                                                                                                                                          | package
i  | sudo-plugin-python                         | Plugin API for python                                                                                                                                                                                                                  | package
i+ | sudo-policy-wheel-auth-self                | Users in the wheel group can authenticate as admin                                                                                                                                                                                     | package
i  | supportutils                               | Support Troubleshooting Tools                                                                                                                                                                                                          | package
i  | suse-module-tools                          | Configuration for module loading and SUSE-specific utilities for KMPs                                                                                                                                                                  | package
i  | suse-module-tools-scriptlets               | Kernel rpm scriptlets                                                                                                                                                                                                                  | package
i  | suseconnect-ng                             | Utility to register a system with the SUSE Customer Center                                                                                                                                                                             | package
i  | sysconfig                                  | The configuration scheme for traditional network scripts                                                                                                                                                                               | package
i  | syslog-service                             | Syslog service files & scripts                                                                                                                                                                                                         | package
i  | system-group-audit                         | System group 'audit'                                                                                                                                                                                                                   | package
i  | system-group-hardware                      | Hardware related system groups                                                                                                                                                                                                         | package
i  | system-group-kvm                           | System group kvm                                                                                                                                                                                                                       | package
i  | system-group-wheel                         | System group 'wheel'                                                                                                                                                                                                                   | package
i  | system-user-lp                             | System user lp                                                                                                                                                                                                                         | package
i  | system-user-man                            | System user and group 'man'                                                                                                                                                                                                            | package
i  | system-user-nobody                         | System user and group nobody                                                                                                                                                                                                           | package
i  | system-user-root                           | System user and group root                                                                                                                                                                                                             | package
i  | system-user-tftp                           | System user and group tftp                                                                                                                                                                                                             | package
i  | system-user-vscan                          | System user vscan                                                                                                                                                                                                                      | package
i  | system-user-wwwrun                         | System user wwwrun and group www                                                                                                                                                                                                       | package
i  | systemd                                    | A System and Session Manager                                                                                                                                                                                                           | package
i  | systemd-default-settings                   | Generic SUSE Customization of systemd defaults                                                                                                                                                                                         | package
i  | systemd-default-settings-branding-openSUSE | openSUSE Specific Customization of systemd defaults                                                                                                                                                                                    | package
i  | systemd-lang                               | Translations for package systemd                                                                                                                                                                                                       | package
i  | systemd-presets-branding-openSUSE          | Systemd default presets for openSUSE                                                                                                                                                                                                   | package
i  | systemd-presets-common-SUSE                | Systemd default presets for SUSE distributions                                                                                                                                                                                         | package
i+ | systemd-resolved                           | Systemd Network Name Resolution Manager                                                                                                                                                                                                | package
i  | systemd-rpm-macros                         | RPM macros for systemd                                                                                                                                                                                                                 | package
i  | sysuser-shadow                             | Tool to execute sysusers.d with shadow utilities                                                                                                                                                                                       | package
i  | tar                                        | GNU implementation of ((t)ape (ar)chiver)                                                                                                                                                                                              | package
i  | tar-lang                                   | Translations for package tar                                                                                                                                                                                                           | package
i  | tar-rmt                                    | Remote tape drive control server by GNU                                                                                                                                                                                                | package
i  | terminfo-base                              | A terminal descriptions database                                                                                                                                                                                                       | package
i  | terminfo-screen                            | A terminal descriptions database for screen                                                                                                                                                                                            | package
i+ | tftp                                       | Trivial File Transfer Protocol (TFTP)                                                                                                                                                                                                  | package
i  | thin-provisioning-tools                    | Thin Provisioning Tools                                                                                                                                                                                                                | package
i  | time                                       | Run Programs And Summarize System Resource Usage                                                                                                                                                                                       | package
i  | timezone                                   | Time Zone Descriptions                                                                                                                                                                                                                 | package
i+ | traceroute                                 | Packet route path tracing utility                                                                                                                                                                                                      | package
i+ | tree                                       | File listing as a tree                                                                                                                                                                                                                 | package
i  | typelib-1_0-Atk-1_0                        | Introspection bindings for the ATK accessibility toolkit                                                                                                                                                                               | package
i  | typelib-1_0-GdkPixbuf-2_0                  | Introspection bindings for gdk-pixbuf                                                                                                                                                                                                  | package
i  | typelib-1_0-Gio-2_0                        | Object-Oriented Framework for C                                                                                                                                                                                                        | package
i  | typelib-1_0-GLib-2_0                       | Object-Oriented Framework for C                                                                                                                                                                                                        | package
i  | typelib-1_0-GModule-2_0                    | Object-Oriented Framework for C                                                                                                                                                                                                        | package
i  | typelib-1_0-GObject-2_0                    | Object-Oriented Framework for C                                                                                                                                                                                                        | package
i  | typelib-1_0-Gtk-3_0                        | Introspection bindings for the GTK+ toolkit library (version 3)                                                                                                                                                                        | package
i  | typelib-1_0-HarfBuzz-0_0                   | Introspection bindings for the HarfBuzz/GObject library                                                                                                                                                                                | package
i  | typelib-1_0-IBus-1_0                       | Introspection bindings for IBus                                                                                                                                                                                                        | package
i  | typelib-1_0-NM-1_0                         | Introspection bindings for the NetworkManager client convenience library                                                                                                                                                               | package
i  | typelib-1_0-Pango-1_0                      | Introspection bindings for pango, a library for text layout and rendering                                                                                                                                                              | package
i  | tzselect                                   | Helper script to select the timezone                                                                                                                                                                                                   | package
i  | ucode-intel                                | Microcode Updates for Intel x86/x86-64 CPUs                                                                                                                                                                                            | package
i  | udev                                       | A rule-based device node and kernel event manager                                                                                                                                                                                      | package
i  | udisks2                                    | Disk Manager                                                                                                                                                                                                                           | package
i  | udisks2-bash-completion                    | Bash Completion for udisksctl                                                                                                                                                                                                          | package
i  | udisks2-lang                               | Translations for package udisks2                                                                                                                                                                                                       | package
i  | update-alternatives                        | Maintain symbolic links determining default commands                                                                                                                                                                                   | package
i  | update-bootloader                          | Tool for boot loader configuration                                                                                                                                                                                                     | package
i  | usbutils                                   | Tools and libraries for USB devices                                                                                                                                                                                                    | package
i  | util-linux                                 | A collection of basic system utilities (core part)                                                                                                                                                                                     | package
i  | util-linux-lang                            | Translations for package util-linux                                                                                                                                                                                                    | package
i  | util-linux-systemd                         | A collection of basic system utilities (systemd dependent part)                                                                                                                                                                        | package
i+ | vim                                        | Vi IMproved                                                                                                                                                                                                                            | package
i  | vim-data                                   | Data files needed for extended vim functionality                                                                                                                                                                                       | package
i  | vim-data-common                            | Common Data files for vim & gvim                                                                                                                                                                                                       | package
i  | vlgothic-fonts                             | VL-Gothic TrueType font family                                                                                                                                                                                                         | package
i  | w3m                                        | A text-based WWW browser                                                                                                                                                                                                               | package
i  | wb-cifs-idmap-plugin                       | The Winbind plugin for cifs.idmap                                                                                                                                                                                                      | package
i+ | wget                                       | A Tool for Mirroring FTP and HTTP Servers                                                                                                                                                                                              | package
i  | wget-lang                                  | Translations for package wget                                                                                                                                                                                                          | package
i+ | which                                      | Displays where a particular program in your path is located                                                                                                                                                                            | package
i  | wpa_supplicant                             | WPA supplicant implementation                                                                                                                                                                                                          | package
i  | wsdd                                       | A Web Service Discovery host daemon                                                                                                                                                                                                    | package
i  | wtmpdb                                     | Database for recording the last logged in users and system reboots                                                                                                                                                                     | package
i  | x86_64_v3                                  | Install x86-64-v3 optimized libraries                                                                                                                                                                                                  | pattern
i  | xbitmaps                                   | Base X bitmaps                                                                                                                                                                                                                         | package
